path	date	source_type	tc_id	verdict
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	automated	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	automated	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	automated	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	automated	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	automated	TC-N01	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/report.md	2026-05-31	automated	TC-N02	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	automated	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	automated	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	automated	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	automated	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	automated	TC-N01	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T13-04-19-345Z/results.json	2026-05-31	automated	TC-N02	SKIPPED
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-A01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-A02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-A03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-A04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M01	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M02	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M03	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M04	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M05	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M06	PASS
test-automation/trade-flow-v2/reports/2026-05-31T15-04-42-404Z/report.md	2026-05-31	automated	TC-M07	PASS
