guide	tc_id	group	description	sub_steps	latest_verdict	latest_date	source_path	still_open	has_pass	finding_note	first_pass_date
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-A01	A — Settings Hub	Settings screen sections + rows render	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-A02	A — Settings Hub	Sign Out confirmation	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-A03	A — Settings Hub	Test Push Notification (rate limit / quiet hours / queued)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-A04	A — Settings Hub	Settings → legal & help links navigate	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-A05	A — Settings Hub	"""Manage Payment Methods"" row navigates"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B01	B — Edit Profile	Edit profile fields load + save (optimistic)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B02	B — Edit Profile	Email change requires re-verification	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B03	B — Edit Profile	Phone change → OTP verification modal	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B04	B — Edit Profile	Avatar upload	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B05	B — Edit Profile	Profile screen stats, badges, reviews, status badge	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B06	B — Edit Profile	Form validation (phone 10-digit, email format)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B07	B — Edit Profile	"""No Changes"" alert"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B08	B — Edit Profile	Waitlist prompt (unreachable from Edit Profile — flag)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B09	B — Edit Profile	"""Already verified"" phone path"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-B10	B — Edit Profile	"Locked-field ""cannot be changed"" alerts"	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-C01	C — Linked Accounts	Linked accounts list (email readonly, password, social)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-C02	C — Linked Accounts	Link a social provider (password re-auth gate)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-C03	C — Linked Accounts	Unlink provider (confirmation + last-method guard)	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-C04	C — Linked Accounts	Email mismatch on link blocked	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-D01	D — Notification Preferences	Five categories × three channel toggles	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-D02	D — Notification Preferences	Optimistic toggle reverts on failure	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-D03	D — Notification Preferences	Quiet hours toggle + time validation	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-D04	D — Notification Preferences	Empty state → Initialize Settings	1							
ACCOUNT-DASHBOARD-HELP-LEGAL	ACC-TC-E01	E — Delete Account (COPPA)	Delete account consequences + password gate	1							
