path	date	wc	source_type	tc_id	verdict
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-J01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-J02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-J03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-J04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-J05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-K01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-K02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-K03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-L08	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-R05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-R06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-A04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-B01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-B03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-B04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-B05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-R01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-R02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-R13	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-D01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-D02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-D03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-D04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-D05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-R07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	REG-R08	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-C08	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-A01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-A02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-A03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-E01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-E02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-E03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-E04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-H01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-H02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-H03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-H04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q01	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q02	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q03	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q04	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q05	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q06	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q07	PASS
/Users/sameralzubaidi/Desktop/kids_marketplace_app/e2e-test-results/2026-05-31T15-31-06/report.md	2026-05-31	0	automated	TC-Q08	PASS
